model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
chatgpt-4o-latest-0903,55.0,47.436,52.0,54.0,64.0,46.875,38.345,70.05,43.161,73.35,44.0,79.167,64.417,38.68,60.0,58.0,74.0,36.0
claude-3-5-sonnet-20240620,52.0,57.692,64.0,49.667,62.0,43.75,64.221,72.217,55.144,73.767,48.0,74.333,68.883,40.22,68.0,66.0,80.0,48.0
claude-3-haiku-20240307,19.0,26.923,22.0,18.5,50.0,25.0,24.81,63.517,23.72,65.1,36.0,57.917,69.583,12.62,62.0,48.0,20.0,32.0
claude-3-opus-20240229,42.0,37.179,40.0,37.0,58.0,37.5,50.592,69.383,50.162,72.55,42.0,71.083,70.483,40.96,64.0,68.0,48.0,34.0
claude-3-sonnet-20240229,24.0,30.769,22.0,26.167,56.0,15.625,26.851,65.817,34.083,64.55,34.0,62.417,67.233,15.68,62.0,54.0,16.0,36.0
command-r,4.0,20.513,10.0,7.667,48.0,14.583,15.779,59.85,14.266,53.833,20.0,63.5,51.467,9.08,38.0,22.0,18.0,38.0
command-r-08-2024,15.0,21.795,14.0,12.833,46.0,18.75,24.685,69.05,18.158,63.767,28.0,69.583,60.417,6.02,42.0,20.0,18.0,34.0
command-r-plus,8.0,26.923,12.0,22.333,38.0,19.792,22.493,70.217,25.432,72.633,22.0,80.833,62.35,11.8,24.0,24.0,18.0,46.0
command-r-plus-08-2024,21.0,26.923,12.0,23.667,44.0,20.833,16.207,64.433,25.186,62.85,26.0,61.333,65.867,11.76,52.0,44.0,28.0,38.0
deepseek-coder-v2,50.0,41.026,42.0,25.833,46.0,45.833,45.511,66.183,31.299,62.517,38.0,75.333,64.7,30.76,38.0,42.0,56.0,42.0
deepseek-v2.5,53.0,42.969,48.0,28.167,52.0,41.667,49.176,68.717,35.381,65.6,32.0,77.167,65.117,24.34,64.0,42.0,58.0,28.0
dracarys-72b-instruct,40.0,35.897,42.0,31.0,48.0,40.625,34.724,67.267,32.507,60.567,38.0,80.583,63.917,10.72,20.0,30.0,48.0,34.0
dracarys-llama-3.1-70b-instruct,39.0,38.462,32.0,38.667,50.0,36.458,31.409,79.517,40.634,76.55,32.0,77.5,75.917,27.96,66.0,46.0,66.0,34.0
gemini-1.5-flash-8b-exp-0827,38.0,29.487,28.0,20.5,50.0,26.042,19.306,73.517,17.061,65.683,44.0,73.583,63.333,7.96,48.0,30.0,36.0,20.0
gemini-1.5-flash-api-0514,34.0,34.615,34.0,16.667,54.0,27.083,35.73,66.1,29.409,66.767,28.0,63.667,55.517,24.08,54.0,46.0,22.0,38.0
gemini-1.5-pro-api-0514,40.0,34.615,30.0,18.833,54.0,30.208,40.518,69.267,39.922,71.05,40.0,64.667,63.8,38.42,66.0,56.0,42.0,24.0
gemini-1.5-pro-exp-0801,47.0,38.462,44.0,37.0,56.0,36.458,47.113,78.633,41.872,76.5,36.0,77.083,83.133,26.46,68.0,62.0,72.0,38.0
gemini-1.5-pro-exp-0827,57.0,35.897,46.0,42.5,54.0,53.125,58.323,77.583,43.439,77.8,36.0,75.0,73.4,30.5,68.0,62.0,80.0,32.0
gemma-2-27b-it,33.0,35.897,36.0,25.167,54.0,18.75,26.8,71.133,30.032,64.517,34.0,69.417,64.417,12.74,64.0,42.0,20.0,42.0
gemma-2-9b-it,30.0,26.923,18.0,23.0,50.0,13.542,15.078,68.05,21.926,61.767,14.0,57.333,59.05,5.18,50.0,38.0,18.0,20.0
gpt-3.5-turbo-0125,27.0,29.487,26.0,13.333,50.0,14.583,15.212,65.767,17.316,57.033,28.0,67.083,51.983,19.64,54.0,42.0,18.0,34.0
gpt-4-0125-preview,40.0,43.59,40.0,43.167,56.0,33.333,26.846,60.1,43.493,61.317,46.0,68.583,65.683,36.18,70.0,44.0,52.0,44.0
gpt-4-0613,28.0,34.615,40.0,39.167,54.0,32.292,40.153,66.767,45.538,70.967,42.0,76.083,73.333,20.08,58.0,64.0,20.0,42.0
gpt-4-turbo-2024-04-09,45.0,50.0,48.0,44.167,54.0,45.833,37.224,63.8,39.619,74.233,46.0,79.917,67.6,35.96,64.0,52.0,70.0,38.0
