model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v3,zebra_puzzle
amazon.nova-lite-v1:0,50.0,13.333,17.143,19.0,34.0,29.167,24.681,57.1,19.859,53.617,30.0,49.683,56.117,29.68,48.0,44.0,40.0,26.0
amazon.nova-micro-v1:0,48.0,8.0,4.286,11.0,46.0,32.292,22.15,41.2,13.575,48.167,24.0,54.8,48.0,9.84,46.0,48.0,27.0,25.25
amazon.nova-pro-v1:0,45.0,20.0,20.0,23.833,54.0,39.583,28.505,70.133,28.972,71.867,22.0,66.083,60.433,28.92,62.0,64.0,35.0,27.75
azerogpt,38.0,13.333,18.571,19.667,48.0,30.208,27.217,61.05,26.527,66.117,28.0,61.083,48.983,15.86,38.0,46.0,23.667,21.75
chatgpt-4o-latest-2025-03-27,74.0,37.333,40.0,37.333,66.0,63.542,29.609,72.967,40.952,76.217,54.0,73.833,64.667,57.42,88.0,70.0,41.667,50.75
claude-3-5-haiku-20241022,42.0,24.0,15.714,26.167,54.0,38.542,23.98,59.217,24.955,70.65,40.0,59.0,58.65,27.36,64.0,68.0,16.333,22.25
claude-3-5-sonnet-20241022,53.0,36.0,28.571,43.167,64.0,40.625,58.005,66.8,50.264,72.667,58.0,68.667,69.05,37.1,64.0,70.0,27.667,44.0
claude-3-7-sonnet-20250219-base,68.0,32.0,32.857,55.833,66.0,57.292,68.669,77.883,53.749,75.533,54.0,79.833,72.717,46.1,78.0,80.0,43.333,50.0
claude-3-7-sonnet-20250219-thinking-64k,84.0,49.333,40.0,71.333,66.0,81.25,71.747,85.683,55.475,79.75,82.0,81.333,78.25,70.16,86.0,78.0,65.0,81.5
claude-3-opus-20240229,42.0,26.667,20.0,33.0,58.0,35.417,51.358,63.95,45.722,70.733,42.0,61.217,59.65,41.68,74.0,82.0,24.333,29.75
command-a-03-2025,58.0,28.0,12.857,23.333,50.0,41.667,36.96,85.933,34.755,82.0,38.0,87.75,75.933,20.18,80.0,52.0,34.0,37.0
command-r-08-2024,15.0,9.333,2.857,12.0,46.0,15.625,24.427,60.217,17.8,59.033,28.0,54.217,49.0,8.02,46.0,54.0,14.0,19.75
command-r-plus-08-2024,21.0,10.667,5.714,20.0,44.0,25.0,22.446,55.833,22.582,61.633,26.0,64.25,48.733,12.18,58.0,50.0,18.667,20.25
deepseek-r1,84.0,62.667,34.286,67.5,56.0,84.375,65.355,87.117,38.812,80.467,76.0,80.833,69.55,60.8,86.0,58.0,80.0,73.75
deepseek-r1-distill-llama-70b,65.0,54.667,38.571,35.167,54.0,80.208,31.198,70.217,25.984,71.883,54.0,72.167,65.483,31.8,82.0,50.0,70.667,54.75
deepseek-r1-distill-qwen-32b,68.0,54.667,50.0,25.833,56.0,73.944,38.451,52.217,16.912,56.458,36.0,59.067,55.108,21.22,59.0,50.0,42.333,54.75
deepseek-v3-0324,82.0,45.333,35.714,44.167,60.0,75.0,57.31,86.783,42.301,77.55,48.0,77.167,84.383,33.1,88.0,54.0,35.333,49.5
dracarys2-72b-instruct,67.0,28.0,22.857,27.833,52.0,45.833,43.918,64.05,29.342,66.025,40.0,66.125,64.667,40.54,74.0,42.0,34.333,38.125
dracarys2-llama-3.1-70b-instruct,52.0,25.333,17.143,30.167,48.0,33.333,35.565,66.717,34.934,67.817,38.0,60.883,57.55,29.94,84.0,62.0,40.0,32.0
gemini-1.5-flash-8b-001,39.0,18.667,14.286,11.833,54.0,32.292,25.211,70.633,18.77,67.833,24.0,71.75,68.65,2.82,82.0,38.0,14.333,17.75
gemini-2.0-flash-001,84.0,26.667,25.714,23.0,56.0,62.5,43.066,85.533,38.161,84.45,50.0,85.25,87.917,54.64,92.0,66.0,41.0,41.75
gemini-2.0-flash-lite-001,70.0,25.333,21.429,25.167,64.0,54.167,40.733,78.45,24.656,76.317,38.0,73.25,78.5,38.34,94.0,52.0,24.0,34.75
gemini-2.0-flash-thinking-exp-01-21,83.0,40.0,31.429,48.833,56.0,82.292,59.14,81.683,36.447,81.783,68.0,89.333,77.083,62.1,90.0,60.0,46.0,70.5
gemini-2.0-pro-exp-02-05,80.0,30.667,40.0,35.833,62.0,62.5,63.107,82.75,47.66,80.533,52.0,83.667,86.583,52.06,90.0,74.0,89.0,44.25
gemini-2.5-pro-exp-03-25,87.0,53.333,62.857,81.833,76.0,92.708,87.762,80.95,60.109,81.583,88.0,81.583,78.25,69.68,94.0,66.0,91.333,83.25
gemma-3-12b-it,69.0,25.333,12.857,26.0,54.0,56.25,19.174,68.35,23.809,77.217,26.0,72.917,76.833,9.68,76.0,44.0,39.333,20.5
gemma-3-27b-it,74.0,28.0,22.857,27.333,52.0,55.208,27.593,71.5,28.61,77.533,36.0,70.583,80.0,8.34,94.0,68.0,38.0,29.25
gemma-3-4b-it,57.0,12.0,11.429,10.167,44.0,19.792,17.186,65.783,11.011,70.25,22.0,60.667,57.633,5.9,68.0,24.0,26.333,11.0
gpt-4.5-preview-2025-02-27,81.0,48.0,50.0,70.167,58.0,66.667,56.154,72.333,48.109,73.917,58.0,78.417,64.633,56.98,78.0,76.0,44.0,61.25
gpt-4o-2024-08-06,57.0,29.333,34.286,37.667,58.0,38.542,41.632,66.883,37.237,70.883,56.0,66.383,70.183,52.74,72.0,62.0,32.0,39.75
gpt-4o-2024-11-20,50.0,34.667,35.714,36.667,58.0,42.708,31.725,62.667,35.382,67.75,48.0,66.25,63.1,44.46,66.0,62.0,24.0,47.25
gpt-4o-mini-2024-07-18,55.0,26.667,24.286,16.5,58.0,36.458,22.682,57.35,19.138,60.733,32.0,56.133,52.983,19.88,72.0,54.0,16.667,28.25
grok-2-1212,67.0,28.0,24.286,33.0,56.0,50.0,50.807,67.85,36.375,73.917,38.0,67.3,69.433,35.34,72.0,68.0,31.667,40.5
