model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
chatgpt-4o-latest,55.0,42.308,52.0,51.333,60.0,48.958,42.841,68.633,42.531,70.1,42.0,79.917,71.417,45.3,58.0,56.0,68.0,46.0
claude-3-5-sonnet-20240620,52.0,57.692,64.0,49.667,62.0,43.75,64.221,72.217,55.144,73.767,48.0,74.333,68.883,40.22,68.0,66.0,80.0,48.0
claude-3-haiku-20240307,19.0,26.923,22.0,18.5,50.0,25.0,24.81,63.517,23.72,65.1,36.0,57.917,69.583,12.62,62.0,48.0,20.0,32.0
claude-3-opus-20240229,42.0,37.179,40.0,37.0,58.0,37.5,50.592,69.383,50.162,72.55,42.0,71.083,70.483,40.96,64.0,68.0,48.0,34.0
claude-3-sonnet-20240229,24.0,30.769,22.0,26.167,56.0,15.625,26.851,65.817,34.083,64.55,34.0,62.417,67.233,15.68,62.0,54.0,16.0,36.0
command-r,4.0,20.513,10.0,7.667,48.0,14.583,15.779,59.85,14.266,53.833,20.0,63.5,51.467,9.08,38.0,22.0,18.0,38.0
command-r-plus,8.0,26.923,12.0,22.333,38.0,19.792,22.493,70.217,25.432,72.633,22.0,80.833,62.35,11.8,24.0,24.0,18.0,46.0
deepseek-chat-v2,51.0,42.308,40.0,28.5,48.0,48.958,43.556,62.933,31.805,62.317,38.0,71.333,61.867,28.76,60.0,38.0,52.0,30.0
deepseek-coder-v2,50.0,41.026,42.0,25.833,46.0,45.833,45.511,66.183,31.299,62.517,38.0,75.333,64.7,30.76,38.0,42.0,56.0,42.0
gemini-1.5-flash-8b-exp-0827,38.0,29.487,28.0,20.5,50.0,26.042,19.306,73.517,17.061,65.683,44.0,73.583,63.333,7.96,48.0,30.0,36.0,20.0
gemini-1.5-flash-api-0514,34.0,34.615,34.0,16.667,54.0,27.083,35.73,66.1,29.409,66.767,28.0,63.667,55.517,24.08,54.0,46.0,22.0,38.0
gemini-1.5-pro-api-0514,40.0,34.615,30.0,18.833,54.0,30.208,40.518,69.267,39.922,71.05,40.0,64.667,63.8,38.42,66.0,56.0,42.0,24.0
gemini-1.5-pro-exp-0801,47.0,38.462,44.0,37.0,56.0,36.458,47.113,78.633,41.872,76.5,36.0,77.083,83.133,26.46,68.0,62.0,72.0,38.0
gemini-1.5-pro-exp-0827,57.0,35.897,46.0,42.5,54.0,53.125,58.323,77.583,43.439,77.8,36.0,75.0,73.4,30.5,68.0,62.0,80.0,32.0
gpt-3.5-turbo-0125,27.0,29.487,26.0,13.333,50.0,14.583,15.212,65.767,17.316,57.033,28.0,67.083,51.983,19.64,54.0,42.0,18.0,34.0
gpt-4-0125-preview,40.0,43.59,40.0,43.167,56.0,33.333,26.846,60.1,43.493,61.317,46.0,68.583,65.683,36.18,70.0,44.0,52.0,44.0
gpt-4-0613,28.0,34.615,40.0,39.167,54.0,32.292,40.153,66.767,45.538,70.967,42.0,76.083,73.333,20.08,58.0,64.0,20.0,42.0
gpt-4-turbo-2024-04-09,45.0,50.0,48.0,44.167,54.0,45.833,37.224,63.8,39.619,74.233,46.0,79.917,67.6,35.96,64.0,52.0,70.0,38.0
gpt-4o-2024-05-13,49.0,48.718,50.0,53.0,64.0,44.792,44.159,70.8,42.806,69.6,40.0,73.667,74.617,29.22,64.0,66.0,70.0,40.0
gpt-4o-2024-08-06,53.0,44.872,58.0,58.0,58.0,50.0,41.632,70.083,45.111,72.383,56.0,80.083,75.783,38.68,62.0,60.0,66.0,42.0
gpt-4o-mini-2024-07-18,53.0,42.308,44.0,36.5,58.0,31.25,22.682,67.0,23.33,65.533,32.0,71.0,59.167,15.56,60.0,46.0,38.0,36.0
meta-llama-3.1-405b-instruct-turbo,47.0,43.59,44.0,44.167,60.0,42.708,31.743,81.133,47.377,78.333,46.0,75.5,78.933,36.52,64.0,58.0,80.0,34.0
meta-llama-3.1-70b-instruct-turbo,40.0,33.333,32.0,41.667,52.0,35.417,27.743,82.25,39.422,74.8,36.0,75.417,83.85,30.88,68.0,46.0,60.0,26.0
meta-llama-3.1-8b-instruct-turbo,20.0,29.487,10.0,13.167,42.0,15.625,14.216,64.033,16.975,57.517,18.0,50.583,54.0,4.46,50.0,30.0,12.0,16.0
mistral-large-2407,42.0,46.154,48.0,29.333,54.0,37.5,51.58,67.6,40.045,73.133,36.0,78.5,68.15,21.82,64.0,50.0,54.0,36.0
mistral-small-2402,17.0,24.359,18.0,21.667,44.0,18.75,19.892,62.067,26.499,59.15,22.0,70.667,63.75,7.64,44.0,18.0,30.0,26.0
mixtral-8x22b-instruct-v0.1,32.0,32.051,32.0,25.167,44.0,21.875,19.775,53.517,28.266,66.867,30.0,68.667,63.617,19.0,32.0,26.0,24.0,34.0
open-mistral-nemo,15.0,29.487,28.0,9.833,46.0,15.625,20.067,58.1,16.615,49.817,26.0,54.917,44.383,12.06,42.0,16.0,20.0,30.0
